feature,importance
num__prior_success,0.26093248
num__duration,0.0844939
cat__contact_unknown,0.0683365
cat__housing_no,0.05975465
cat__month_mar,0.05202953
cat__month_jun,0.042386327
cat__month_oct,0.032853886
cat__loan_no,0.027447037
cat__month_apr,0.023725344
cat__month_nov,0.023125142
cat__month_sep,0.023086917
cat__job_blue-collar,0.021467265
cat__job_student,0.021404253
cat__month_feb,0.01852693
cat__education_tertiary,0.0147451665
cat__month_may,0.014004657
num__age,0.013340364
num__pdays,0.012666931
cat__poutcome_unknown,0.012111113
cat__marital_single,0.011639174
